Loc,Input,block,logNH4,SamplN
C,+,1,0.0818238134767724,0
C,-,1,0.123683963912364,0
F,+,1,2.17021885956177,0
F,-,1,2.29358281053408,0
C,+,2,0.139546011113499,0
C,-,2,0.198198157364054,0
F,+,2,0.243268519060539,0
F,-,2,2.40282413900034,0
C,+,3,0.162825698841245,0
C,-,3,0.112095869719045,0
F,+,3,1.87249281638497,0
F,-,3,2.60146485270711,0
C,+,1,1.14632398333307,4
C,-,1,0.843895483063155,4
F,+,1,2.80882092675624,4
F,-,1,2.54368731502741,4
C,+,2,0.819818999579663,4
C,-,2,1.53257524436996,4
F,+,2,1.78169259330329,4
F,-,2,2.35787743706267,4
C,+,3,0.706016479547083,4
C,-,3,0.514916310106256,4
F,+,3,2.38335413911374,4
F,-,3,2.65808229817856,4
